iter	Logloss
0	0.6898556672
1	0.6885252283
2	0.6861073115
3	0.6831371697
4	0.6800159118
5	0.6774758821
6	0.6740866424
7	0.6705053229
8	0.6681907861
9	0.6651043163
10	0.6622236013
11	0.6595151877
12	0.6573438665
13	0.655544355
14	0.6526682397
15	0.6507825091
16	0.6472698672
17	0.645365048
18	0.6435751536
19	0.6413226374
20	0.6390497481
21	0.6364130458
22	0.6346316445
23	0.6324230583
24	0.6300355225
25	0.627573322
26	0.6256621502
27	0.6231619079
28	0.6204500543
29	0.6187043079
30	0.6164978856
31	0.6141912317
32	0.6122829143
33	0.6106792293
34	0.6088008444
35	0.6074231994
36	0.6054497466
37	0.6029088998
38	0.6011769481
39	0.5998893754
40	0.5985958989
41	0.5967286978
42	0.5944766329
43	0.592994499
44	0.5915194668
45	0.5899855353
46	0.5885958535
47	0.586595557
48	0.58560026
49	0.5834935532
50	0.5825212349
51	0.5810649023
52	0.5785818011
53	0.5765218599
54	0.5748716432
55	0.5736157362
56	0.5722907986
57	0.571048086
58	0.5700669915
59	0.5691358623
60	0.5675990462
61	0.5653266268
62	0.5640889319
63	0.5624493656
64	0.5611187341
65	0.5589108391
66	0.5576625285
67	0.5563642131
68	0.5551622523
69	0.5536991327
70	0.5526728782
71	0.5512346587
72	0.550095353
73	0.5486197664
74	0.5470195599
75	0.5464337804
76	0.5452139513
77	0.5440720288
78	0.5423965142
79	0.5409868173
80	0.539553388
81	0.5380997264
82	0.5369207005
83	0.5359809857
84	0.5346189376
85	0.5333574871
86	0.5321160167
87	0.5308598081
88	0.5296240755
89	0.5285939637
90	0.5276074126
91	0.5269057624
92	0.5259407808
93	0.5250962816
94	0.5240520322
95	0.5226137192
96	0.5214395918
97	0.5202539651
98	0.5190088505
99	0.5179673903
100	0.5170378098
101	0.5158182072
102	0.5145989745
103	0.5136516936
104	0.5126536088
105	0.5116020589
106	0.5107302032
107	0.5099425362
108	0.509139485
109	0.5081903378
110	0.5068284549
111	0.505902373
112	0.5048511744
113	0.5040255839
114	0.503377144
115	0.5023269391
116	0.5009769451
117	0.5002562367
118	0.4992682892
119	0.4985103362
120	0.497710867
121	0.4969559045
122	0.4965924167
123	0.4955833103
124	0.4949414678
125	0.494095494
126	0.4931207696
127	0.4921183574
128	0.4916521538
129	0.4906283717
130	0.4899151292
131	0.4890345394
132	0.4883063402
133	0.4876764292
134	0.4864935854
135	0.4854418859
136	0.4839799618
137	0.4833606744
138	0.4826321595
139	0.4818132887
140	0.4811536036
141	0.4800069056
142	0.4794803778
143	0.4788978699
144	0.4780626116
145	0.4774309664
146	0.4765027533
147	0.4756807356
148	0.4750756931
149	0.4744001707
150	0.4739245112
151	0.473531336
152	0.4728885421
153	0.4722425863
154	0.4713188646
155	0.4704783178
156	0.4697730211
157	0.4687541257
158	0.4676983768
159	0.4669953699
160	0.4663832157
161	0.4656465897
162	0.4650346168
163	0.4641904276
164	0.4634059929
165	0.4622894127
166	0.461393069
167	0.4605393853
168	0.4597662154
169	0.458755158
170	0.4577706081
171	0.4568260541
172	0.4559537177
173	0.4549250835
174	0.4540512495
175	0.453302369
176	0.4526227863
177	0.4511692282
178	0.4500210538
179	0.4495107646
180	0.4483589851
181	0.4476710051
182	0.4470082627
183	0.4459928298
184	0.4454508065
185	0.4447921327
186	0.4443422833
187	0.4435849785
188	0.4429336288
189	0.4422803569
190	0.4416584045
191	0.4408392854
192	0.4400939315
193	0.4395646427
194	0.4389768945
195	0.4380264236
196	0.4371589029
197	0.4366935624
198	0.4359399817
199	0.4351438241
200	0.4341653962
201	0.4333200229
202	0.4326929432
203	0.4316709625
204	0.4308574458
205	0.4303559059
206	0.4298836868
207	0.4289475989
208	0.4282185005
209	0.427573447
210	0.4271171792
211	0.4263106057
212	0.4258249636
213	0.4253699829
214	0.4247098174
215	0.4240326611
216	0.4235226776
217	0.4229412925
218	0.4224140221
219	0.421754025
220	0.4209755675
221	0.4197268403
222	0.4189441304
223	0.4179947461
224	0.417087342
225	0.4163083878
226	0.4157687779
227	0.415236946
228	0.4144698902
229	0.4136302059
230	0.4127863655
231	0.4121073987
232	0.4114956413
233	0.4106937703
234	0.4100612504
235	0.4093246159
236	0.4086093928
237	0.4079590098
238	0.4074344057
239	0.4068366123
240	0.4064426417
241	0.4058303268
242	0.4052263972
243	0.4047543487
244	0.404092744
245	0.4035750544
246	0.4029679583
247	0.4022133835
248	0.401469604
249	0.4007095834
250	0.4001581935
251	0.3996266332
252	0.3990953327
253	0.3984144478
254	0.3979589005
255	0.3973925395
256	0.3970941511
257	0.3966248466
258	0.3961451446
259	0.3953416735
260	0.394939215
261	0.3945149402
262	0.3941978247
263	0.3937595369
264	0.3929620419
265	0.3924147105
266	0.3919415162
267	0.3914163188
268	0.3906013056
269	0.3900092958
270	0.3890568342
271	0.3885767038
272	0.3882137859
273	0.3875832474
274	0.3871591043
275	0.3863986881
276	0.3858714884
277	0.3852096127
278	0.38464181
279	0.3842453861
280	0.3834941077
281	0.3829106513
282	0.3823904694
283	0.3818474113
284	0.3814119844
285	0.3810539434
286	0.3807499779
287	0.3805835831
288	0.3800229245
289	0.3795481974
290	0.3791795151
291	0.3787580947
292	0.3783454178
293	0.3778587763
294	0.3773802662
295	0.376807696
296	0.3762058571
297	0.3757679433
298	0.3752387427
299	0.3746117484
300	0.3742231894
301	0.3736166108
